"LocationName","FeatureLocation","Provider","Ward","NoBays","Speed","easting","northing","Radius","IsDedicated","Status"
"Clifton Gardens","At or Outside 21","Ubitricity","Little Venice",1,"5.5kW",526249.02,182185.91,6,"Non Dedicated","Installed"
"Clifton Gardens","At or Outside 4 CONNAUGHT HOUSE","Ubitricity","Little Venice",1,"5.5kW",526135.22,182112.33,6,"Non Dedicated","Installed"
"Clifton Gardens","At or Outside 53","Ubitricity","Little Venice",1,"5.5kW",526334.86,182255.49,6,"Dedicated","Installed"
"Clifton Gardens","At or Outside CONNAUGHT HOUSE","Ubitricity","Little Venice",1,"5.5kW",526176.26,182145.47,6,"Non Dedicated","Installed"
"Clifton Hill","At or Outside 109","Ubitricity","Abbey Road",1,"5.5kW",525903.94,183367.03,6,"Dedicated","Installed"
"Clifton Hill","At or Outside 22","Ubitricity","Abbey Road",1,"5.5kW",526308.33,183681.86,6,"Non Dedicated","Installed"
"Clifton Hill","At or Outside 23","Ubitricity","Abbey Road",1,"5.5kW",526288.04,183657.8,6,"Dedicated","Installed"
"Clifton Hill","At or Outside 9","Ubitricity","Abbey Road",1,"5.5kW",526342.16,183692.54,6,"Non Dedicated","Installed"
"Clifton Hill","At or Outside 91","Ubitricity","Abbey Road",1,"5.5kW",525989.32,183439.32,6,"Dedicated","Installed"
"Clifton Hill","Outside 53 Clifton Hill","Elektromotive Car Club","Abbey Road",2,"7-22kW",526137.4,183564.7,15,"Dedicated","Installed"
"Clifton Villas","At or Outside 16","Ubitricity","Little Venice",1,"5.5kW",526036.23,182020.38,6,"Non Dedicated","Installed"
"Clifton Villas","At or Outside 2","Ubitricity","Little Venice",1,"5.5kW",526000.13,181933.59,6,"Non Dedicated","Installed"
"Clifton Villas","At or Outside 8","Ubitricity","Little Venice",1,"5.5kW",526033.44,181987.62,6,"Dedicated","Installed"
"Clifton Villas","Outside 23-24 Clifton Villas","BP Pulse","Little Venice",2,"7-22kW",525993.201,181951.52,15,"Dedicated","Installed"
"Cochrane Street","At or Outside COCHRANE HOUSE","Ubitricity","Regent's Park",1,"5.5kW",526938.57,183138.56,6,"Dedicated","Installed"
"Connaught Street","50 Connaught Street","Elektromotive","Hyde Park",2,"7-22kW",527237.0991,181069.4941,15,"Dedicated","Installed"
"Cosway Street","At or Outside 7","Ubitricity","Church Street",1,"5.5kW",527359.75,181854.12,6,"Dedicated","Installed"
"Courtnell Street","At or Outside 13","Ubitricity","Bayswater",1,"5.5kW",525076.31,181204.11,6,"Dedicated","Installed"
"Courtnell Street","At or Outside 18","Ubitricity","Bayswater",1,"5.5kW",525079.02,181231.86,6,"Non Dedicated","Installed"
"Courtnell Street","At or Outside 33","Ubitricity","Bayswater",1,"5.5kW",525065,181255.9,6,"Dedicated","Installed"
"Courtnell Street","At or Outside 38","Ubitricity","Bayswater",1,"5.5kW",525068.01,181283.22,6,"Non Dedicated","Installed"
"Craven Hill","At or Outside 18","Ubitricity","Lancaster Gate",1,"5.5kW",526330.02,180916.27,6,"Non Dedicated","Installed"
"Craven Hill","At or Outside 22","Ubitricity","Lancaster Gate",1,"5.5kW",526306.91,180902.88,6,"Dedicated","Installed"
"Craven Hill","At or Outside 8","Ubitricity","Lancaster Gate",1,"5.5kW",526387.48,180948.88,6,"Non Dedicated","Installed"
"Craven Hill Gardens","At or Outside 35","Ubitricity","Lancaster Gate",1,"5.5kW",526247.4,180913.4,6,"Non Dedicated","Installed"
"Craven Hill Gardens","At or Outside 40","Ubitricity","Lancaster Gate",1,"5.5kW",526275.43,180926.56,6,"Dedicated","Installed"
"Craven Hill Gardens","Opposite 21","Ubitricity","Lancaster Gate",1,"5.5kW",526184.11,180829.34,6,"Dedicated","Installed"
"Croxley Road","At or Outside 51","Ubitricity","Harrow Road",1,"5.5kW",525026.92,182691.87,6,"Non Dedicated","Installed"
"Culworth Street","Opposite OSLO COURT","Ubitricity","Regent's Park",1,"5.5kW",527221.38,183169.32,6,"Non Dedicated","Installed"
"Culworth Street","Opposite TIBET HOUSE","Ubitricity","Regent's Park",1,"5.5kW",527240.97,183152.44,6,"Dedicated","Installed"
"Cunningham Place","At or Outside ELMTON COURT FLATS","Ubitricity","Abbey Road",1,"5.5kW",526730.41,182353.6,6,"Dedicated","Installed"
"Curzon Street","Outside No. 19","Ubitricity","West End",1,"5.5kW",528457.72,180219.41,6,"Dedicated","Installed"
"Dean Ryle Street","At or Outside 8 DEAN RYLE STREET","Ubitricity","Vincent Square",1,"5.5kW",530124.83,178954.73,6,"Dedicated","Installed"
"Delaware Road","At or Outside 123-132","Ubitricity","Maida Vale",1,"5.5kW",525588.33,182382.92,6,"Non Dedicated","Installed"
