ons_la_code_apr_2019,borough,quarter,count
E09000027,Richmond upon Thames,2014-10-01,23
E09000028,Southwark,2014-10-01,95
E09000029,Sutton,2014-10-01,10
E09000030,Tower Hamlets,2014-10-01,45
E09000031,Waltham Forest,2014-10-01,29
E09000032,Wandsworth,2014-10-01,17
E09000033,Westminster,2014-10-01,153
E09000002,Barking and Dagenham,2015-01-01,12
E09000003,Barnet,2015-01-01,62
E09000004,Bexley,2015-01-01,20
E09000005,Brent,2015-01-01,32
E09000006,Bromley,2015-01-01,55
E09000007,Camden,2015-01-01,107
E09000001,City of London,2015-01-01,33
E09000008,Croydon,2015-01-01,40
E09000009,Ealing,2015-01-01,111
E09000010,Enfield,2015-01-01,33
E09000011,Greenwich,2015-01-01,30
E09000012,Hackney,2015-01-01,26
E09000013,Hammersmith and Fulham,2015-01-01,25
E09000014,Haringey,2015-01-01,41
E09000015,Harrow,2015-01-01,17
E09000016,Havering,2015-01-01,69
E09000017,Hillingdon,2015-01-01,302
E09000018,Hounslow,2015-01-01,278
E09000019,Islington,2015-01-01,73
E09000020,Kensington and Chelsea,2015-01-01,28
E09000021,Kingston upon Thames,2015-01-01,9
E09000022,Lambeth,2015-01-01,83
E09000023,Lewisham,2015-01-01,0
E09000024,Merton,2015-01-01,20
E09000025,Newham,2015-01-01,11
E09000026,Redbridge,2015-01-01,13
E09000027,Richmond upon Thames,2015-01-01,33
E09000028,Southwark,2015-01-01,108
E09000029,Sutton,2015-01-01,11
E09000030,Tower Hamlets,2015-01-01,45
E09000031,Waltham Forest,2015-01-01,32
E09000032,Wandsworth,2015-01-01,21
E09000033,Westminster,2015-01-01,165
E09000002,Barking and Dagenham,2015-04-01,16
E09000003,Barnet,2015-04-01,87
E09000004,Bexley,2015-04-01,18
E09000005,Brent,2015-04-01,59
E09000006,Bromley,2015-04-01,67
E09000007,Camden,2015-04-01,115
E09000001,City of London,2015-04-01,36
E09000008,Croydon,2015-04-01,47
E09000009,Ealing,2015-04-01,130
E09000010,Enfield,2015-04-01,39
E09000011,Greenwich,2015-04-01,30
E09000012,Hackney,2015-04-01,24
E09000013,Hammersmith and Fulham,2015-04-01,29
E09000014,Haringey,2015-04-01,44
E09000015,Harrow,2015-04-01,19
E09000016,Havering,2015-04-01,64
E09000017,Hillingdon,2015-04-01,248
E09000018,Hounslow,2015-04-01,287
E09000019,Islington,2015-04-01,120
E09000020,Kensington and Chelsea,2015-04-01,31
E09000021,Kingston upon Thames,2015-04-01,10
E09000022,Lambeth,2015-04-01,95
E09000023,Lewisham,2015-04-01,6
E09000024,Merton,2015-04-01,25
E09000025,Newham,2015-04-01,13
E09000026,Redbridge,2015-04-01,31
E09000027,Richmond upon Thames,2015-04-01,36
E09000028,Southwark,2015-04-01,109
E09000029,Sutton,2015-04-01,12
E09000030,Tower Hamlets,2015-04-01,49
E09000031,Waltham Forest,2015-04-01,36
E09000032,Wandsworth,2015-04-01,32
E09000033,Westminster,2015-04-01,184
E09000002,Barking and Dagenham,2015-07-01,15
E09000003,Barnet,2015-07-01,91
E09000004,Bexley,2015-07-01,21
E09000005,Brent,2015-07-01,58
E09000006,Bromley,2015-07-01,63
E09000007,Camden,2015-07-01,135
E09000001,City of London,2015-07-01,40
E09000008,Croydon,2015-07-01,52
E09000009,Ealing,2015-07-01,134
E09000010,Enfield,2015-07-01,44
E09000011,Greenwich,2015-07-01,35
E09000012,Hackney,2015-07-01,29
E09000013,Hammersmith and Fulham,2015-07-01,28
E09000014,Haringey,2015-07-01,53
E09000015,Harrow,2015-07-01,20
E09000016,Havering,2015-07-01,67
E09000017,Hillingdon,2015-07-01,312
E09000018,Hounslow,2015-07-01,288
E09000019,Islington,2015-07-01,188
E09000020,Kensington and Chelsea,2015-07-01,30
E09000021,Kingston upon Thames,2015-07-01,11
E09000022,Lambeth,2015-07-01,101
E09000023,Lewisham,2015-07-01,8
E09000024,Merton,2015-07-01,37
E09000025,Newham,2015-07-01,16
E09000026,Redbridge,2015-07-01,32
E09000027,Richmond upon Thames,2015-07-01,45
E09000028,Southwark,2015-07-01,112
E09000029,Sutton,2015-07-01,15
E09000030,Tower Hamlets,2015-07-01,52
E09000031,Waltham Forest,2015-07-01,41
E09000032,Wandsworth,2015-07-01,38
E09000033,Westminster,2015-07-01,195
E09000002,Barking and Dagenham,2015-10-01,15
E09000003,Barnet,2015-10-01,104
E09000004,Bexley,2015-10-01,25
E09000005,Brent,2015-10-01,67
E09000006,Bromley,2015-10-01,76
E09000007,Camden,2015-10-01,138
E09000001,City of London,2015-10-01,53
E09000008,Croydon,2015-10-01,69
E09000009,Ealing,2015-10-01,125
E09000010,Enfield,2015-10-01,50
E09000011,Greenwich,2015-10-01,38
E09000012,Hackney,2015-10-01,33
E09000013,Hammersmith and Fulham,2015-10-01,34
E09000014,Haringey,2015-10-01,55
E09000015,Harrow,2015-10-01,23
E09000016,Havering,2015-10-01,86
E09000017,Hillingdon,2015-10-01,272
E09000018,Hounslow,2015-10-01,283
E09000019,Islington,2015-10-01,190
E09000020,Kensington and Chelsea,2015-10-01,36
E09000021,Kingston upon Thames,2015-10-01,16
E09000022,Lambeth,2015-10-01,106
E09000023,Lewisham,2015-10-01,9
E09000024,Merton,2015-10-01,39
E09000025,Newham,2015-10-01,18
E09000026,Redbridge,2015-10-01,34
E09000027,Richmond upon Thames,2015-10-01,46
E09000028,Southwark,2015-10-01,119
E09000029,Sutton,2015-10-01,16
E09000030,Tower Hamlets,2015-10-01,59
E09000031,Waltham Forest,2015-10-01,43
E09000032,Wandsworth,2015-10-01,40
E09000033,Westminster,2015-10-01,202
E09000002,Barking and Dagenham,2016-01-01,15
E09000003,Barnet,2016-01-01,147
E09000004,Bexley,2016-01-01,29
E09000005,Brent,2016-01-01,83
E09000006,Bromley,2016-01-01,90
E09000007,Camden,2016-01-01,148
E09000001,City of London,2016-01-01,56
E09000008,Croydon,2016-01-01,81
E09000009,Ealing,2016-01-01,154
E09000010,Enfield,2016-01-01,52
E09000011,Greenwich,2016-01-01,50
E09000012,Hackney,2016-01-01,46
E09000013,Hammersmith and Fulham,2016-01-01,54
E09000014,Haringey,2016-01-01,64
E09000015,Harrow,2016-01-01,28
E09000016,Havering,2016-01-01,106
E09000017,Hillingdon,2016-01-01,423
E09000018,Hounslow,2016-01-01,302
E09000019,Islington,2016-01-01,199
E09000020,Kensington and Chelsea,2016-01-01,52
E09000021,Kingston upon Thames,2016-01-01,17
E09000022,Lambeth,2016-01-01,117
E09000023,Lewisham,2016-01-01,23
E09000024,Merton,2016-01-01,77
E09000025,Newham,2016-01-01,35
E09000026,Redbridge,2016-01-01,50
E09000027,Richmond upon Thames,2016-01-01,65
E09000028,Southwark,2016-01-01,132
E09000029,Sutton,2016-01-01,23
E09000030,Tower Hamlets,2016-01-01,95
E09000031,Waltham Forest,2016-01-01,40
E09000032,Wandsworth,2016-01-01,47
E09000033,Westminster,2016-01-01,241
E09000002,Barking and Dagenham,2016-04-01,23
E09000003,Barnet,2016-04-01,193
E09000004,Bexley,2016-04-01,30
E09000005,Brent,2016-04-01,122
E09000006,Bromley,2016-04-01,72
E09000007,Camden,2016-04-01,156
E09000001,City of London,2016-04-01,70
E09000008,Croydon,2016-04-01,76
E09000009,Ealing,2016-04-01,173
E09000010,Enfield,2016-04-01,60
E09000011,Greenwich,2016-04-01,53
E09000012,Hackney,2016-04-01,57
E09000013,Hammersmith and Fulham,2016-04-01,106
E09000014,Haringey,2016-04-01,65
E09000015,Harrow,2016-04-01,36
E09000016,Havering,2016-04-01,102
E09000017,Hillingdon,2016-04-01,415
E09000018,Hounslow,2016-04-01,332
E09000019,Islington,2016-04-01,148
E09000020,Kensington and Chelsea,2016-04-01,59
E09000021,Kingston upon Thames,2016-04-01,22
E09000022,Lambeth,2016-04-01,126
E09000023,Lewisham,2016-04-01,30
E09000024,Merton,2016-04-01,142
E09000025,Newham,2016-04-01,45
