ons_la_code_apr_2019,borough,quarter,count
E09000007,Camden,2019-01-01,526
E09000001,City of London,2019-01-01,77
E09000008,Croydon,2019-01-01,263
E09000009,Ealing,2019-01-01,448
E09000010,Enfield,2019-01-01,235
E09000011,Greenwich,2019-01-01,191
E09000012,Hackney,2019-01-01,158
E09000013,Hammersmith and Fulham,2019-01-01,343
E09000014,Haringey,2019-01-01,281
E09000015,Harrow,2019-01-01,270
E09000016,Havering,2019-01-01,173
E09000017,Hillingdon,2019-01-01,659
E09000018,Hounslow,2019-01-01,456
E09000019,Islington,2019-01-01,417
E09000020,Kensington and Chelsea,2019-01-01,494
E09000021,Kingston upon Thames,2019-01-01,192
E09000022,Lambeth,2019-01-01,262
E09000023,Lewisham,2019-01-01,135
E09000024,Merton,2019-01-01,263
E09000025,Newham,2019-01-01,86
E09000026,Redbridge,2019-01-01,210
E09000027,Richmond upon Thames,2019-01-01,358
E09000028,Southwark,2019-01-01,376
E09000029,Sutton,2019-01-01,143
E09000030,Tower Hamlets,2019-01-01,171
E09000031,Waltham Forest,2019-01-01,91
E09000032,Wandsworth,2019-01-01,360
E09000033,Westminster,2019-01-01,1069
E09000002,Barking and Dagenham,2019-04-01,67
E09000003,Barnet,2019-04-01,960
E09000004,Bexley,2019-04-01,169
E09000005,Brent,2019-04-01,378
E09000006,Bromley,2019-04-01,372
E09000007,Camden,2019-04-01,575
E09000001,City of London,2019-04-01,81
E09000008,Croydon,2019-04-01,275
E09000009,Ealing,2019-04-01,472
E09000010,Enfield,2019-04-01,250
E09000011,Greenwich,2019-04-01,208
E09000012,Hackney,2019-04-01,186
E09000013,Hammersmith and Fulham,2019-04-01,409
E09000014,Haringey,2019-04-01,308
E09000015,Harrow,2019-04-01,290
E09000016,Havering,2019-04-01,179
E09000017,Hillingdon,2019-04-01,639
E09000018,Hounslow,2019-04-01,464
E09000019,Islington,2019-04-01,431
E09000020,Kensington and Chelsea,2019-04-01,540
E09000021,Kingston upon Thames,2019-04-01,217
E09000022,Lambeth,2019-04-01,300
E09000023,Lewisham,2019-04-01,149
E09000024,Merton,2019-04-01,292
E09000025,Newham,2019-04-01,97
E09000026,Redbridge,2019-04-01,225
E09000027,Richmond upon Thames,2019-04-01,409
E09000028,Southwark,2019-04-01,433
E09000029,Sutton,2019-04-01,165
E09000030,Tower Hamlets,2019-04-01,169
E09000031,Waltham Forest,2019-04-01,96
E09000032,Wandsworth,2019-04-01,431
E09000033,Westminster,2019-04-01,1079
E09000002,Barking and Dagenham,2019-07-01,69
E09000003,Barnet,2019-07-01,1139
E09000004,Bexley,2019-07-01,195
E09000005,Brent,2019-07-01,454
E09000006,Bromley,2019-07-01,426
E09000007,Camden,2019-07-01,657
E09000001,City of London,2019-07-01,92
E09000008,Croydon,2019-07-01,321
E09000009,Ealing,2019-07-01,522
E09000010,Enfield,2019-07-01,283
E09000011,Greenwich,2019-07-01,239
E09000012,Hackney,2019-07-01,208
E09000013,Hammersmith and Fulham,2019-07-01,491
E09000014,Haringey,2019-07-01,368
E09000015,Harrow,2019-07-01,352
E09000016,Havering,2019-07-01,214
E09000017,Hillingdon,2019-07-01,829
E09000018,Hounslow,2019-07-01,507
E09000019,Islington,2019-07-01,459
E09000020,Kensington and Chelsea,2019-07-01,607
E09000021,Kingston upon Thames,2019-07-01,281
E09000022,Lambeth,2019-07-01,333
E09000023,Lewisham,2019-07-01,189
E09000024,Merton,2019-07-01,365
E09000025,Newham,2019-07-01,123
E09000026,Redbridge,2019-07-01,251
E09000027,Richmond upon Thames,2019-07-01,491
E09000028,Southwark,2019-07-01,496
E09000029,Sutton,2019-07-01,184
E09000030,Tower Hamlets,2019-07-01,200
E09000031,Waltham Forest,2019-07-01,119
E09000032,Wandsworth,2019-07-01,512
E09000033,Westminster,2019-07-01,1178
E09000002,Barking and Dagenham,2019-10-01,84
E09000003,Barnet,2019-10-01,1198
E09000004,Bexley,2019-10-01,219
E09000005,Brent,2019-10-01,500
E09000006,Bromley,2019-10-01,498
E09000007,Camden,2019-10-01,700
E09000001,City of London,2019-10-01,99
E09000008,Croydon,2019-10-01,349
E09000009,Ealing,2019-10-01,572
E09000010,Enfield,2019-10-01,306
E09000011,Greenwich,2019-10-01,275
E09000012,Hackney,2019-10-01,211
E09000013,Hammersmith and Fulham,2019-10-01,655
E09000014,Haringey,2019-10-01,403
E09000015,Harrow,2019-10-01,383
E09000016,Havering,2019-10-01,230
E09000017,Hillingdon,2019-10-01,891
E09000018,Hounslow,2019-10-01,533
E09000019,Islington,2019-10-01,489
E09000020,Kensington and Chelsea,2019-10-01,678
E09000021,Kingston upon Thames,2019-10-01,320
E09000022,Lambeth,2019-10-01,363
E09000023,Lewisham,2019-10-01,206
E09000024,Merton,2019-10-01,397
E09000025,Newham,2019-10-01,137
E09000026,Redbridge,2019-10-01,274
E09000027,Richmond upon Thames,2019-10-01,537
E09000028,Southwark,2019-10-01,528
E09000029,Sutton,2019-10-01,207
E09000030,Tower Hamlets,2019-10-01,210
E09000031,Waltham Forest,2019-10-01,139
E09000032,Wandsworth,2019-10-01,566
E09000033,Westminster,2019-10-01,1524
E09000002,Barking and Dagenham,2020-01-01,122
E09000003,Barnet,2020-01-01,1291
E09000004,Bexley,2020-01-01,254
E09000005,Brent,2020-01-01,520
E09000006,Bromley,2020-01-01,548
E09000007,Camden,2020-01-01,764
E09000001,City of London,2020-01-01,102
E09000008,Croydon,2020-01-01,408
E09000009,Ealing,2020-01-01,640
E09000010,Enfield,2020-01-01,347
E09000011,Greenwich,2020-01-01,316
E09000012,Hackney,2020-01-01,249
E09000013,Hammersmith and Fulham,2020-01-01,818
E09000014,Haringey,2020-01-01,449
E09000015,Harrow,2020-01-01,446
E09000016,Havering,2020-01-01,281
E09000017,Hillingdon,2020-01-01,958
E09000018,Hounslow,2020-01-01,578
E09000019,Islington,2020-01-01,401
E09000020,Kensington and Chelsea,2020-01-01,712
E09000021,Kingston upon Thames,2020-01-01,341
E09000022,Lambeth,2020-01-01,381
E09000023,Lewisham,2020-01-01,226
E09000024,Merton,2020-01-01,482
E09000025,Newham,2020-01-01,157
E09000026,Redbridge,2020-01-01,314
E09000027,Richmond upon Thames,2020-01-01,623
E09000028,Southwark,2020-01-01,571
E09000029,Sutton,2020-01-01,238
E09000030,Tower Hamlets,2020-01-01,280
E09000031,Waltham Forest,2020-01-01,164
E09000032,Wandsworth,2020-01-01,623
E09000033,Westminster,2020-01-01,1451
E09000002,Barking and Dagenham,2020-04-01,137
E09000003,Barnet,2020-04-01,1359
E09000004,Bexley,2020-04-01,266
E09000005,Brent,2020-04-01,548
E09000006,Bromley,2020-04-01,583
E09000007,Camden,2020-04-01,835
