ons_la_code_apr_2019,borough,quarter,count
E09000009,Ealing,2016-07-01,199
E09000010,Enfield,2016-07-01,151
E09000011,Greenwich,2016-07-01,100
E09000012,Hackney,2016-07-01,88
E09000013,Hammersmith and Fulham,2016-07-01,126
E09000014,Haringey,2016-07-01,173
E09000015,Harrow,2016-07-01,172
E09000016,Havering,2016-07-01,101
E09000017,Hillingdon,2016-07-01,149
E09000018,Hounslow,2016-07-01,143
E09000019,Islington,2016-07-01,134
E09000020,Kensington and Chelsea,2016-07-01,337
E09000021,Kingston upon Thames,2016-07-01,128
E09000022,Lambeth,2016-07-01,117
E09000023,Lewisham,2016-07-01,95
E09000024,Merton,2016-07-01,97
E09000025,Newham,2016-07-01,70
E09000026,Redbridge,2016-07-01,137
E09000027,Richmond upon Thames,2016-07-01,173
E09000028,Southwark,2016-07-01,134
E09000029,Sutton,2016-07-01,114
E09000030,Tower Hamlets,2016-07-01,66
E09000031,Waltham Forest,2016-07-01,71
E09000032,Wandsworth,2016-07-01,216
E09000033,Westminster,2016-07-01,418
E09000002,Barking and Dagenham,2016-10-01,69
E09000003,Barnet,2016-10-01,623
E09000004,Bexley,2016-10-01,92
E09000005,Brent,2016-10-01,238
E09000006,Bromley,2016-10-01,286
E09000007,Camden,2016-10-01,391
E09000001,City of London,2016-10-01,16
E09000008,Croydon,2016-10-01,162
E09000009,Ealing,2016-10-01,213
E09000010,Enfield,2016-10-01,159
E09000011,Greenwich,2016-10-01,111
E09000012,Hackney,2016-10-01,99
E09000013,Hammersmith and Fulham,2016-10-01,145
E09000014,Haringey,2016-10-01,186
E09000015,Harrow,2016-10-01,189
E09000016,Havering,2016-10-01,116
E09000017,Hillingdon,2016-10-01,168
E09000018,Hounslow,2016-10-01,160
E09000019,Islington,2016-10-01,153
E09000020,Kensington and Chelsea,2016-10-01,353
E09000021,Kingston upon Thames,2016-10-01,143
E09000022,Lambeth,2016-10-01,133
E09000023,Lewisham,2016-10-01,111
E09000024,Merton,2016-10-01,112
E09000025,Newham,2016-10-01,78
E09000026,Redbridge,2016-10-01,148
E09000027,Richmond upon Thames,2016-10-01,196
E09000028,Southwark,2016-10-01,157
E09000029,Sutton,2016-10-01,123
E09000030,Tower Hamlets,2016-10-01,81
E09000031,Waltham Forest,2016-10-01,81
E09000032,Wandsworth,2016-10-01,236
E09000033,Westminster,2016-10-01,463
E09000002,Barking and Dagenham,2017-01-01,80
E09000003,Barnet,2017-01-01,723
E09000004,Bexley,2017-01-01,123
E09000005,Brent,2017-01-01,257
E09000006,Bromley,2017-01-01,341
E09000007,Camden,2017-01-01,446
E09000001,City of London,2017-01-01,22
E09000008,Croydon,2017-01-01,201
E09000009,Ealing,2017-01-01,262
E09000010,Enfield,2017-01-01,186
E09000011,Greenwich,2017-01-01,131
E09000012,Hackney,2017-01-01,108
E09000013,Hammersmith and Fulham,2017-01-01,178
E09000014,Haringey,2017-01-01,214
E09000015,Harrow,2017-01-01,227
E09000016,Havering,2017-01-01,136
E09000017,Hillingdon,2017-01-01,217
E09000018,Hounslow,2017-01-01,187
E09000019,Islington,2017-01-01,184
E09000020,Kensington and Chelsea,2017-01-01,407
E09000021,Kingston upon Thames,2017-01-01,163
E09000022,Lambeth,2017-01-01,168
E09000023,Lewisham,2017-01-01,132
E09000024,Merton,2017-01-01,148
E09000025,Newham,2017-01-01,90
E09000026,Redbridge,2017-01-01,181
E09000027,Richmond upon Thames,2017-01-01,256
E09000028,Southwark,2017-01-01,198
E09000029,Sutton,2017-01-01,141
E09000030,Tower Hamlets,2017-01-01,85
E09000031,Waltham Forest,2017-01-01,89
E09000032,Wandsworth,2017-01-01,278
E09000033,Westminster,2017-01-01,529
E09000002,Barking and Dagenham,2017-04-01,83
E09000003,Barnet,2017-04-01,776
E09000004,Bexley,2017-04-01,131
E09000005,Brent,2017-04-01,288
E09000006,Bromley,2017-04-01,373
E09000007,Camden,2017-04-01,487
E09000001,City of London,2017-04-01,19
E09000008,Croydon,2017-04-01,237
E09000009,Ealing,2017-04-01,291
E09000010,Enfield,2017-04-01,208
E09000011,Greenwich,2017-04-01,150
E09000012,Hackney,2017-04-01,123
E09000013,Hammersmith and Fulham,2017-04-01,209
E09000014,Haringey,2017-04-01,246
