ons_la_code_apr_2019,borough,quarter,count
E09000006,Bromley,2016-07-01,115
E09000007,Camden,2016-07-01,96
E09000001,City of London,2016-07-01,0
E09000008,Croydon,2016-07-01,66
E09000009,Ealing,2016-07-01,66
E09000010,Enfield,2016-07-01,43
E09000011,Greenwich,2016-07-01,32
E09000012,Hackney,2016-07-01,30
E09000013,Hammersmith and Fulham,2016-07-01,35
E09000014,Haringey,2016-07-01,59
E09000015,Harrow,2016-07-01,60
E09000016,Havering,2016-07-01,32
E09000017,Hillingdon,2016-07-01,57
E09000018,Hounslow,2016-07-01,49
E09000019,Islington,2016-07-01,49
E09000020,Kensington and Chelsea,2016-07-01,94
E09000021,Kingston upon Thames,2016-07-01,47
E09000022,Lambeth,2016-07-01,44
E09000023,Lewisham,2016-07-01,29
E09000024,Merton,2016-07-01,40
E09000025,Newham,2016-07-01,22
E09000026,Redbridge,2016-07-01,35
E09000027,Richmond upon Thames,2016-07-01,73
E09000028,Southwark,2016-07-01,45
E09000029,Sutton,2016-07-01,54
E09000030,Tower Hamlets,2016-07-01,29
E09000031,Waltham Forest,2016-07-01,20
E09000032,Wandsworth,2016-07-01,98
E09000033,Westminster,2016-07-01,103
E09000002,Barking and Dagenham,2016-10-01,19
E09000003,Barnet,2016-10-01,161
E09000004,Bexley,2016-10-01,32
E09000005,Brent,2016-10-01,81
E09000006,Bromley,2016-10-01,131
E09000007,Camden,2016-10-01,102
E09000001,City of London,2016-10-01,5
E09000008,Croydon,2016-10-01,74
E09000009,Ealing,2016-10-01,71
E09000010,Enfield,2016-10-01,46
E09000011,Greenwich,2016-10-01,37
E09000012,Hackney,2016-10-01,31
E09000013,Hammersmith and Fulham,2016-10-01,44
E09000014,Haringey,2016-10-01,62
E09000015,Harrow,2016-10-01,65
E09000016,Havering,2016-10-01,41
E09000017,Hillingdon,2016-10-01,69
E09000018,Hounslow,2016-10-01,56
E09000019,Islington,2016-10-01,59
E09000020,Kensington and Chelsea,2016-10-01,104
E09000021,Kingston upon Thames,2016-10-01,50
E09000022,Lambeth,2016-10-01,55
E09000023,Lewisham,2016-10-01,37
E09000024,Merton,2016-10-01,49
E09000025,Newham,2016-10-01,23
E09000026,Redbridge,2016-10-01,40
E09000027,Richmond upon Thames,2016-10-01,85
E09000028,Southwark,2016-10-01,55
E09000029,Sutton,2016-10-01,60
E09000030,Tower Hamlets,2016-10-01,35
E09000031,Waltham Forest,2016-10-01,26
E09000032,Wandsworth,2016-10-01,110
